1,2093,495,2,0,2,2,2,OrangeGlancMaterial,5,L,,,LivCab2_Door1_Sketch
2,593,445,2,0,2,2,2,OrangeGlancMaterial,2,L,,,LivCab3_Door1_Sketch
3,194,595,3,0,2,2,2,OrangeGlancMaterial,0,-,,,LivCab4_Drawer1_Door_Sketch
4,2098,299,1,1,1,2,0.8,OrangeGlancMaterial,0,-,,,LivingShelves_ShelvesR2_Sketch
