,Име Фамилия/ Фирма,,,,,,,телефон,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Вид материал,,,Ламинирано ПДЧ,,,,,,,,,,,,,
,Цвят и арт. Номер,,,Орех Тропик / 02PO.9184.18.3660.1830.SM,,,,,,,,,,,,,
,дебелина мм,,,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
N,Размери на детайла,,,,Кантиране брой страни,,,,,,,,,,,,
,По фладер/А,Обратно на фладер/B,Брои детаили,Въртене,д,к,Дебелина на канта,Цвят и арт. Номер на канта,Отвори за панти брой,Страна за дупчене д/к,скосяване по схема,сдвояване на детайл,Забележка,,,,Name
59,698,476,1,,1,2,0.8,04A.10138N.21.2,,,,,,,,,Cab2Up_Base
60,768,296,1,,1,2,0.8,04A.10138N.21.2,,,,,,,,,LivCab9_Base
61,998,139,2,,1,2,0.8,04A.10138N.21.2,,,,,,,,,SofaShelves_Bottom
62,1088,366,1,,1,2,0.8,04A.10138N.21.2,,,,,,,,,Cab3_Base
63,1158,296,1,,1,2,0.8,04A.10138N.21.2,,,,,,,,,Cab1Up_Base
64,1198,476,1,,1,2,0.8,04A.10138N.21.2,,,,,,,,,Cab1_Base
65,2098,299,1,,1,2,0.8,04A.10138N.21.2,,,,,,,,,LivingShelves_ShelvesR2
66,2098,317,1,,1,2,0.8,04A.10138N.21.2,,,,,,,,,LivingShelves_ShelvesR1
67,264,228,1,,2,0,0.8,04A.10138N.21.2,,,,,,,,,LivCab8_WholeBlend
68,742,558,4,,2,0,0.8,04A.10138N.21.2,,,,,,,,,Cab4_LeftSide
69,121,296,1,,2,1,0.8,04A.10138N.21.2,,,,,,,,,Cab0Up_Base
70,298,556,1,,2,1,0.8,04A.10138N.21.2,,,,,,,,,Bottles_Base
71,440,486,1,,2,1,0.8,04A.10138N.21.2,,,,,,,,,Cab2_Base
72,449,198,2,,2,1,0.8,04A.10138N.21.2,,,,,,,,,VitodensDownCab_RightBoard
73,863,228,2,,2,1,0.8,04A.10138N.21.2,,,,,,,,,LivCab8_LeftSide
74,100,558,1,,2,2,0.8,04A.10138N.21.2,,,,,,,,,KitchenDownPlanks_Left2_Down
75,298,228,1,,2,2,0.8,04A.10138N.21.2,,,,,,,,,LivCab8_Base
76,428,100,2,,2,2,0.8,04A.10138N.21.2,,,,,,,,,LivingDown_Down3
77,598,558,1,,2,2,0.8,04A.10138N.21.2,,,,,,,,,Cab4_Base
78,948,230,1,,2,2,0.8,04A.10138N.21.2,,,,,,,,,ShelvesKitchenWindow_ShelvesR2
79,948,248,1,,2,2,0.8,04A.10138N.21.2,,,,,,,,,ShelvesKitchenWindow_ShelvesR1
80,948,428,1,,2,2,0.8,04A.10138N.21.2,,,,,,,,,ShelvesKitchenWindow_ShelvesL1
81,966,558,1,,2,2,0.8,04A.10138N.21.2,,,,,,,,,Cab5_Base
82,1170,100,1,,2,2,0.8,04A.10138N.21.2,,,,,,,,,KitchenDownPlanks_Front1_Down
83,1730,100,2,,2,2,0.8,04A.10138N.21.2,,,,,,,,,LivingDown_Down1
84,2200,100,1,,2,2,0.8,04A.10138N.21.2,,,,,,,,,KitchenDownPlanks_Left1_Down
85,2300,100,1,,2,2,0.8,04A.10138N.21.2,,,,,,,,,KitchenDownPlanks_Right1_Down
86,100,696,1,,1,2,2,04A.10138N.21.2,,,,,,,,,VitodensDownCab_DownPlank
87,751,195,2,,1,2,2,04A.10138N.21.2,,,,,,,,,Cab1Plank2
88,133,593,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,OvenDoor1
89,183,593,4,,2,2,2,04A.10138N.21.2,,,,,,,,,Cab4_Drawer1_Door
90,193,493,8,,2,2,2,04A.10138N.21.2,,,,,,,,,LivCab3_Drawer1_Door
91,246,116,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,Cab0Up_Door1
92,293,377,2,,2,2,2,04A.10138N.21.2,2,к,,,,,,,LivCab9_Door1
93,340,692,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,VitodensDownCab_Door
94,392,493,2,,2,2,2,04A.10138N.21.2,,,,,,,,,LivCab4_Drawer1_Door
95,393,493,5,,2,2,2,04A.10138N.21.2,2,к,,,,,,,LivCab2_Up_Door1
96,690,292,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,BottlesUp_Door1
97,751,292,1,,2,2,2,04A.10138N.21.2,,,,,,,,,Bottles_Door1
98,751,434,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,Cab2_Door1
99,751,446,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,Cab3Door1
100,751,477,2,,2,2,2,04A.10138N.21.2,2,д,,,,,,,Cab5_Door1
101,751,592,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,Sink_Door1
102,751,593,1,,2,2,2,04A.10138N.21.2,,,,,,,,,KitchenAddons_DishDoor
103,751,593,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,Cab1Door1
104,903,593,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,OvenUpDoor1
105,943,572,2,,2,2,2,04A.10138N.21.2,2,д,,,,,,,Cab1Up_Door1
106,943,593,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,Cab3Up_Door1
107,1093,692,1,,2,2,2,04A.10138N.21.2,2,д,,,,,,,Cab2Up_Door1
108,1691,493,2,,2,2,2,04A.10138N.21.2,3,д,,,,,,,LivCab2_Door1
109,2091,493,2,,2,2,2,04A.10138N.21.2,4,д,,,,,,,LivCab1_Door1
110,87,296,1,,0,0,,,,,,,,,,,Cab0Up_WholeBlend
111,232,232,3,√,0,0,,,,,,,заоблено изрязване ¼ кръг и кантиране по дъгата с кант 04A.10138N.22.08 (схема 1),,,,ShelvesKitchenWindow_ShelvesR3
112,264,100,1,√,0,0,,,,,,,,,,,Bottles_BackBlend
113,300,300,3,√,0,0,,,,,,,заоблено изрязване ¼ кръг и кантиране по дъгата с кант 04A.10138N.22.08 (схема 2),,,,LivingShelves_ShelvesR3
114,406,100,1,√,0,0,,,,,,,,,,,Cab2_BackBlend
115,430,250,3,√,0,0,,,,,,,"заоблено изрязване ½ кръг с диаметър дългата страна, кантиране по дъгата с кант 04A.10138N.22.08 (схема 3)",,,,ShelvesKitchenWindow_ShelvesL2
116,464,100,3,√,0,0,,,,,,,,,,,LivCab3_BackBlend
117,564,100,2,√,0,0,,,,,,,,,,,Oven_BackBlend
118,600,100,2,√,0,0,,,,,,,,,,,KitchenAddons_DishUp1
119,600,1541,1,,0,0,,,,,,,,,,,KitchenAddons_WindowBack
120,724,564,1,,0,0,,,,,,,,,,,Cab4_Back
121,724,932,1,,0,0,,,,,,,,,,,Cab5_Back
122,756,100,2,√,0,0,,,,,,,,,,,Cab1Plank1
123,846,264,4,,0,0,,,,,,,,,,,LivCab8_Back
124,1054,100,1,√,0,0,,,,,,,,,,,Cab3_BackBlend
125,1164,100,1,√,0,0,,,,,,,,,,,Cab1_BackBlend
126,1564,964,1,,0,0,,,,,,,,,,,SofaShelves_Back
